UniqueTemps
Active
Adventurous
Affectionate
Agile
Alert
Aloof
Assertive
Athletic
Attentive
Bold
Bossy
Brave
Bright
Calm
Cat-like
Cautious
Clever
Clownish
Companionable
Confident
Cooperative
Courageous
Curious
Dignified
Docile
Dominant
Dutiful
Eager
Easygoing
Energetic
Even Tempered
Excitable
Familial
Fast
Fearless
Fierce
Friendly
Fun-loving
Gentle
Good-natured
Happy
Hard-working
Independent
Intelligent
Joyful
Kind
Lively
Loving
Loyal
Mischievous
Obedient
Outgoing
Patient
Playful
Powerful
Protective
Proud
Quick
Quiet
Rational
Receptive
Reliable
Reserved
Responsive
Sensitive
Sociable
Spirited
Spunky
Strong
Strong Willed
Stubborn
Sweet-Tempered
Territorial
Thoughtful
Tolerant
Trainable
Trusting
Trustworthy
Vocal
Watchful
